forecast_type,ticker,model,MAE,RMSE,MAPE,sMAPE,MASE,Mean_Error,Directional_Accuracy
GBM simulated price-path forecast,AAPL,Basic Monthly GBM,7.673447301993701,8.934931273230745,,,,,
GBM simulated price-path forecast,AMD,GBM + Sentiment,10.554974460746024,12.475637213051087,,,,,
GBM simulated price-path forecast,AMZN,Basic Monthly GBM,7.0772412585264926,8.421708636710553,,,,,
GBM simulated price-path forecast,JNJ,Basic Monthly GBM,3.624934652977917,4.326295797604812,,,,,
GBM simulated price-path forecast,KO,GBM + Sentiment,1.2314875039127002,1.5010217594986857,,,,,
GBM simulated price-path forecast,MSFT,Basic Monthly GBM,11.02096006746165,13.194019647461529,,,,,
GBM simulated price-path forecast,NFLX,Periodic GBM,3.0073302192395173,3.710331208737372,,,,,
GBM simulated price-path forecast,NVDA,GBM + Sentiment,4.984208458450656,5.954626983018179,,,,,
GBM simulated price-path forecast,WMT,Basic Monthly GBM,1.8450603346219878,2.2095302676142627,,,,,
One-step-ahead next-day forecast,AAPL,Random Walk,2.320307333258133,3.2897347194389828,1.2714225086615165,1.2715873006906067,1.0,-0.11156806462927689,0.0031645569620253164
One-step-ahead next-day forecast,AMD,Random Walk,3.0511565183364757,4.489690851854425,2.461882905715944,2.463960291045004,1.0,-0.10554154613667348,0.002103049421661409
One-step-ahead next-day forecast,AMZN,Random Walk,2.592736739146558,3.603298162668686,1.6860200424889373,1.685105054508981,1.0,-0.07563237701287262,0.0031645569620253164
One-step-ahead next-day forecast,JNJ,LSTM,1.1889717264815827,1.6723324906442352,0.778025080258376,0.7779035453967462,0.9954383365978188,-0.001101967565799382,0.5359179019384265
One-step-ahead next-day forecast,KO,Random Walk,0.4433764783959637,0.6096503140635193,0.7437041910383455,0.7436158712491114,1.0,-0.017167371616028795,0.010964912280701754
One-step-ahead next-day forecast,MSFT,Random Walk,4.124203762765658,5.592112487940956,1.2211100096899277,1.2215872704781763,1.0,-0.1863206443140066,0.0
One-step-ahead next-day forecast,NFLX,Random Walk,0.9629936298825547,1.4857462570010818,1.835239415176678,1.8267745442067935,1.0,-0.0671837352523076,0.0010559662090813093
One-step-ahead next-day forecast,NVDA,Random Walk,1.8009577553073135,2.8836011820611005,2.48823136653446,2.4923982743942474,1.0,-0.1476385741468673,0.0010706638115631692
One-step-ahead next-day forecast,WMT,LSTM,0.6072208456039049,0.9630751936848301,0.9298009596405011,0.9279189223634873,0.9925442523683456,0.04782595268306367,0.5536663124335813
