ticker,model,correct_direction_count,total_predictions,directional_accuracy,p_value_vs_50pct,significant_vs_50pct
WMT,Linear Regression,473,941,0.5026567481402763,0.8962619091153332,False
WMT,LSTM,521,941,0.5536663124335813,0.0011035730666491377,True
WMT,LSTM + Sentiment,444,941,0.4718384697130712,0.08999332044093634,False
NVDA,Linear Regression,472,934,0.5053533190578159,0.7684026355896174,False
NVDA,LSTM,486,934,0.5203426124197003,0.22599998324142134,False
NVDA,LSTM + Sentiment,452,934,0.48394004282655245,0.3426712533547501,False
AMD,Linear Regression,464,951,0.4879074658254469,0.47561801635242923,False
AMD,LSTM,488,951,0.5131440588853838,0.43643559827916456,False
AMD,LSTM + Sentiment,453,951,0.47634069400630913,0.15360088014266407,False
KO,Linear Regression,418,912,0.4583333333333333,0.012967027893685134,True
KO,LSTM,476,912,0.5219298245614035,0.19653113832149618,False
KO,LSTM + Sentiment,472,912,0.5175438596491229,0.30464772606037704,False
JNJ,Linear Regression,435,877,0.4960091220068415,0.8394577649823791,False
JNJ,LSTM,470,877,0.5359179019384265,0.036236356165678704,True
JNJ,LSTM + Sentiment,437,877,0.4982896237172178,0.9461607329316445,False
MSFT,Linear Regression,489,944,0.5180084745762712,0.28278998400252214,False
MSFT,LSTM,484,944,0.5127118644067796,0.45412420577088236,False
MSFT,LSTM + Sentiment,494,944,0.5233050847457628,0.1616184025042464,False
AAPL,Linear Regression,447,948,0.47151898734177217,0.0851316376542481,False
AAPL,LSTM,481,948,0.5073839662447257,0.6728864742140526,False
AAPL,LSTM + Sentiment,444,948,0.46835443037974683,0.05527841381516807,False
AMZN,Linear Regression,494,948,0.5210970464135021,0.20525245297103925,False
AMZN,LSTM,485,948,0.5116033755274262,0.49522874777201115,False
AMZN,LSTM + Sentiment,478,948,0.5042194092827004,0.8201667982947092,False
NFLX,Linear Regression,475,947,0.5015839493136219,0.948185494307436,False
NFLX,LSTM,486,947,0.5131995776135164,0.4354684470855157,False
NFLX,LSTM + Sentiment,479,947,0.5058078141499472,0.7452335079455719,False
