ticker,year,mu,sigma,beta_sentiment,MAE,RMSE,MAPE,sMAPE,Mean_Error,MASE,Directional_Accuracy
WMT,2022,0.047908520836594054,0.20679911741648133,-0.1653588232054067,19.059224853284654,22.293591955092005,43.99566902733801,34.07848386942831,19.059224853284654,,0.004
WMT,2023,0.047908520836594054,0.20679911741648133,-0.1653588232054067,16.670777853765863,19.238269382201093,33.094200057070985,27.347340765840904,16.66630805284463,,0.004
WMT,2024,0.047908520836594054,0.20679911741648133,-0.1653588232054067,1.8887549179473213,2.6283642994117997,2.6953198427335283,2.6665860472381597,0.4995481533237104,,0.003968253968253968
WMT,2025,0.047908520836594054,0.20679911741648133,-0.1653588232054067,17.801950019752496,20.75368235715071,18.0412850166219,16.178358374816877,16.621637610385807,,0.0045662100456621
NVDA,2022,0.5876851762981584,0.43302729191179434,0.2836008948188013,23.09691147745419,25.970599991383303,146.8587118114548,75.19306008743783,23.09691147745419,,0.00411522633744856
NVDA,2023,0.5876851762981584,0.43302729191179434,0.2836008948188013,15.183301108862784,16.606973802380413,39.15462199083039,49.679713443376386,-15.182334038444464,,0.004016064257028112
NVDA,2024,0.5876851762981584,0.43302729191179434,0.2836008948188013,30.65260653330644,33.13958452792764,27.57119496284213,32.50962198116008,-30.642845237154102,,0.003968253968253968
NVDA,2025,0.5876851762981584,0.43302729191179434,0.2836008948188013,34.72877520033415,38.78221664726522,24.88995783324355,21.2765771579468,34.51714207062179,,0.004545454545454545
AMD,2022,0.4624863015878958,0.6469748402736519,0.5354932314556758,35.94587940383685,38.523410609694395,45.36492099715636,35.16095925020909,35.94587940383685,,0.00398406374501992
AMD,2023,0.4624863015878958,0.6469748402736519,0.5354932314556758,44.87032127200155,49.344000156954706,41.23931876178708,53.803836923006855,-44.86184794597496,,0.004016064257028112
AMD,2024,0.4624863015878958,0.6469748402736519,0.5354932314556758,29.767589055594964,33.24446778620644,18.117660328714578,20.288591982965556,-29.671084366557402,,0.003968253968253968
AMD,2025,0.4624863015878958,0.6469748402736519,0.5354932314556758,51.33499295881611,72.69655732855486,28.808496603098625,36.41912116786904,-41.42142827601617,,0.004366812227074236
KO,2022,0.06668317698443924,0.13314533861786282,-0.10984296525640005,2.566451634887292,3.0671407573341125,4.579883942699768,4.707783484883828,-2.0577015071815747,,0.004219409282700422
KO,2023,0.06668317698443924,0.13314533861786282,-0.10984296525640005,1.5567027188442963,1.884662855349836,2.8587569805636823,2.837310083200574,0.25906619400020886,,0.0041841004184100415
KO,2024,0.06668317698443924,0.13314533861786282,-0.10984296525640005,6.855430100312829,8.446011488109605,10.8001285543679,11.729929126596124,-6.8490968565265,,0.00398406374501992
KO,2025,0.06668317698443924,0.13314533861786282,-0.10984296525640005,8.019511332304607,8.54554972414399,11.716540320633605,12.544451591344382,-7.99771440384485,,0.004651162790697674
JNJ,2022,0.14591528081337984,0.16150002645283462,-0.08199534482259459,15.906506094371391,19.341938085796997,10.390311325369561,9.649475678393008,15.876520387184067,,0.0045662100456621
JNJ,2023,0.14591528081337984,0.16150002645283462,-0.08199534482259459,37.05552164121044,40.57787795231664,25.376982082362815,22.032616690405057,37.03014196877518,,0.00423728813559322
JNJ,2024,0.14591528081337984,0.16150002645283462,-0.08199534482259459,23.28898754680802,26.852378276958227,15.902033694581204,14.385914956179931,23.246894714535483,,0.004166666666666667
JNJ,2025,0.14591528081337984,0.16150002645283462,-0.08199534482259459,9.800734824557967,12.27444699489343,5.639368942093462,5.875277098145922,-8.74204437440347,,0.0047169811320754715
MSFT,2022,0.24094683092327263,0.23494684147942663,-0.15380871029272966,102.39165254251421,112.16204037927632,41.191257040588184,32.86753397223069,102.39165254251421,,0.00398406374501992
MSFT,2023,0.24094683092327263,0.23494684147942663,-0.15380871029272966,31.852853604646175,37.23429404936439,9.821519992597894,10.48531950646288,-30.703783938600644,,0.004
MSFT,2024,0.24094683092327263,0.23494684147942663,-0.15380871029272966,21.563046597693408,25.566972300965816,5.157334240938445,5.28356060202252,-10.455420137371991,,0.003968253968253968
MSFT,2025,0.24094683092327263,0.23494684147942663,-0.15380871029272966,24.199962042273576,30.88036879883173,5.554500625932803,5.414885117572397,5.430834526556916,,0.004524886877828055
AAPL,2022,0.07279774372056053,0.24197940470834345,0.3017881566067399,9.61835351737149,11.733246493646929,6.369438330958143,6.463292210755051,-2.7078998088490325,,0.00398406374501992
AAPL,2023,0.07279774372056053,0.24197940470834345,0.3017881566067399,65.67827670726768,71.29962693777347,37.27009264541328,47.4649455178017,-65.67827670726768,,0.004
AAPL,2024,0.07279774372056053,0.24197940470834345,0.3017881566067399,55.84309597388683,69.82621696067633,25.06712876879751,30.950425855819663,-55.71715704424523,,0.003968253968253968
AAPL,2025,0.07279774372056053,0.24197940470834345,0.3017881566067399,30.08841357336422,44.25644001091523,12.217057730320464,13.795812293478818,-23.0275873193845,,0.0044444444444444444
AMZN,2022,0.35361524375332337,0.297566721812755,0.47106938065153603,15.869546485953133,19.62659909682197,14.226080328302771,12.791697991954425,13.081183867014449,,0.00398406374501992
AMZN,2023,0.35361524375332337,0.297566721812755,0.47106938065153603,40.90286615146596,45.93252245975289,31.688546547904068,39.022480874531176,-40.875736269139786,,0.004016064257028112
AMZN,2024,0.35361524375332337,0.297566721812755,0.47106938065153603,50.44400486945251,54.90073302892743,26.48294699206053,31.180302337516697,-50.37294348538195,,0.003968253968253968
AMZN,2025,0.35361524375332337,0.297566721812755,0.47106938065153603,17.261335245562446,20.2845420169786,8.089167633448517,8.104850552797224,-5.235865005579841,,0.004424778761061947
NFLX,2022,0.3550215954811454,0.42261677420944316,0.3559404987716834,33.897883402214234,35.49785272359997,141.99485062503342,77.21066861158202,33.897883402214234,,0.00398406374501992
NFLX,2023,0.3550215954811454,0.42261677420944316,0.3559404987716834,8.343448674334239,9.704799259394711,19.97823528260299,22.876622976367734,-8.32625361396958,,0.004016064257028112
NFLX,2024,0.3550215954811454,0.42261677420944316,0.3559404987716834,19.633428296646944,22.354022246368363,27.523877161462995,32.81685070684341,-19.633428296646944,,0.003968253968253968
NFLX,2025,0.3550215954811454,0.42261677420944316,0.3559404987716834,18.467974109955406,21.286257782586638,15.817178224616043,17.57974188105918,-17.94666153855913,,0.0044444444444444444
